Value,Cell,Alignment,Type
0.274927459,231,Aligned,231_AM
0.703334126,231,Aligned,231_AM
0.573033529,231,Aligned,231_AM
0.197555991,231,Aligned,231_AM
0.048542257,231,Aligned,231_AM
0.077766011,231,Aligned,231_AM
0.293706068,231,Aligned,231_AM
0.419331571,231,Aligned,231_AM
0.070167502,231,Aligned,231_AM
0.233529131,231,Aligned,231_AM
0.118778075,231,Aligned,231_AM
0.028958112,231,Aligned,231_AM
0.865183528,231,Aligned,231_AM
0.017295638,231,Aligned,231_AM
0.030483102,231,Aligned,231_AM
0.08151265,231,Aligned,231_AM
0.042831841,231,Aligned,231_AM
0.176374273,231,Aligned,231_AM
0.302812971,231,Aligned,231_AM
0.363234467,231,Aligned,231_AM
0.021261853,231,Aligned,231_AM
0.122364775,231,Aligned,231_AM
0.220049508,231,Aligned,231_AM
0.037260392,231,Aligned,231_AM
0.236437409,231,Aligned,231_AM
0.248563837,231,Aligned,231_AM
0.727039684,231,Aligned,231_AM
0.080089058,231,Aligned,231_AM
0.076743818,231,Aligned,231_AM
0.02132003,231,Aligned,231_AM
0.022411705,231,Aligned,231_AM
0.065585054,231,Aligned,231_AM
0.563085165,231,Aligned,231_AM
0.316124812,231,Aligned,231_AM
0.722424591,231,Aligned,231_AM
0.227451966,231,Aligned,231_AM
0.402062998,231,Aligned,231_AM
0.017773451,231,Aligned,231_AM
0.357812563,231,Aligned,231_AM
0.30651803,231,Aligned,231_AM
0.56731053,231,Aligned,231_AM
0.024979314,231,Aligned,231_AM
0.265410403,231,Aligned,231_AM
0.176407464,231,Aligned,231_AM
0.171425257,231,Aligned,231_AM
0.019547744,231,Aligned,231_AM
0.013524013,231,Aligned,231_AM
0.015477942,231,Aligned,231_AM
0.119797349,231,Aligned,231_AM
0.335430475,231,Aligned,231_AM
0.37268514,231,Aligned,231_AM
0.069016374,231,Aligned,231_AM
0.429300726,231,Aligned,231_AM
0.159895367,231,Aligned,231_AM
0.854776501,231,Aligned,231_AM
0.282152652,231,Aligned,231_AM
0.436223547,231,Aligned,231_AM
0.389742527,231,Aligned,231_AM
0.015470464,231,Aligned,231_AM
0.132038488,231,Aligned,231_AM
0.466787731,231,Aligned,231_AM
0.019338746,231,Aligned,231_AM
0.040857305,231,Aligned,231_AM
0.803562394,231,Aligned,231_AM
0.247105776,231,Aligned,231_AM
0.334527372,231,Aligned,231_AM
0.240687576,231,Aligned,231_AM
0.021361428,231,Aligned,231_AM
0.472575838,231,Aligned,231_AM
0.948183163,231,Aligned,231_AM
0.095366865,231,Aligned,231_AM
0.328031847,231,Aligned,231_AM
0.051999473,231,Aligned,231_AM
0.147872892,231,Aligned,231_AM
0.445660543,231,Aligned,231_AM
0.104939544,231,Aligned,231_AM
0.046463586,231,Aligned,231_AM
