,Number ,,,,,,,Cicrularity ,,Alignment,Cell
13,Trial1_4-0002.tif,91.609,287.968,149,1184,0.824,1.875,0.533,0.976,RM,MDA-MB-231
14,Trial1_4-0002.tif,105.733,285.177,149,1085,0.913,1.227,0.815,0.977,RM,MDA-MB-231
15,Trial1_4-0002.tif,119.144,263.892,148,1186,0.946,1.077,0.928,0.977,RM,MDA-MB-231
16,Trial1_6-0002.tif,141.843,331.89,149,1460,0.899,1.446,0.692,0.977,RM,MDA-MB-231
17,Trial1_6-0002.tif,101.437,303.269,148,3442,0.858,1.044,0.958,0.968,RM,MDA-MB-231
18,Trial1_6-0002.tif,122.801,258.514,148,2718,0.838,1.406,0.711,0.966,RM,MDA-MB-231
19,Trial1_6-0002.tif,96.016,269.575,147,1340,0.923,1.265,0.791,0.977,RM,MDA-MB-231
20,Trial1_6-0002.tif,122.563,273.507,146,1136,0.93,1.307,0.765,0.978,RM,MDA-MB-231
21,Trial1_7-0002.tif,140.454,300.752,147,2293,0.843,1.393,0.718,0.975,RM,MDA-MB-231
22,Trial1_7-0002.tif,92.633,294.37,148,1207,0.96,1.037,0.964,0.979,RM,MDA-MB-231
23,Trial1_7-0002.tif,55.957,314.73,149,1064,0.766,1.75,0.571,0.911,RM,MDA-MB-231
24,Trial1_7-0002.tif,154.541,296.171,147,2293,0.953,1.175,0.851,0.985,RM,MDA-MB-231
25,Trial1_8-0002.tif,177.176,382.887,148,2325,0.916,1.302,0.768,0.984,RM,MDA-MB-231
26,Trial1_8-0002.tif,67.621,365.917,148,1240,0.911,1.396,0.716,0.972,RM,MDA-MB-231
27,Trial1_8-0002.tif,149.833,339.628,148,1596,0.887,1.509,0.663,0.973,RM,MDA-MB-231
28,Trial1_8-0002.tif,101.912,329.459,148,3084,0.918,1.108,0.903,0.978,RM,MDA-MB-231
29,Trial1_8-0002.tif,135.499,265.2,147,1604,0.894,1.412,0.708,0.981,RM,MDA-MB-231
